name;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;min_income;area
Quiet Double Bed Apartment,Primrose,Thawi Watthana,13.79315,100.33356,Private room,1800.0,2.0,0.0,3.0,256.0,3600.0,Outer Western Bangkok;;;;;;;;;;;;
Suvarnabhumi free transfer,Luckana,Lat Krabang,13.72141,100.72946,Entire home/apt,1558.0,1.0,43.0,2.0,365.0,1558.0,East Bangkok;;;;;;;;;;;;
One Bed Room at Sukumvit 50 Bangkok,Nichapat,Khlong Toei,13.71513,100.5683,Private room,2226.0,1.0,0.0,1.0,364.0,2226.0,Central Bangkok;;;;;;;;;;;;
Mix Dorm  Decor do Hostel,Somsak,Khlong San,13.72214,100.50752,Shared room,350.0,1.0,12.0,10.0,87.0,350.0,West Bangkok;;;;;;;;;;;;
5 mins by car from Chong Nonsi BTS Station,Mimi,Sathon,13.71498,100.53312,Private room,1543.0,1.0,40.0,4.0,149.0,1543.0,South Bangkok;;;;;;;;;;;;
Inn Saladaeng - Superior hotel room,Inn Saladaeng & The Sathon Vimanda,Bang Rak,13.72825,100.53774,Entire home/apt,1589.0,1.0,36.0,2.0,176.0,1589.0,Central Bangkok;;;;;;;;;;;;
❂Citycenter✔Subway station✔Private Bathroom4Aircon,Evan,Sathon,13.72062,100.54707,Entire home/apt,800.0,1.0,396.0,37.0,361.0,800.0,South Bangkok;;;;;;;;;;;;
Nice River View Condominium 30 sq.m,Chanvit,Rat Burana,13.68426,100.49841,Private room,1558.0,1.0,0.0,1.0,365.0,1558.0,South Bangkok;;;;;;;;;;;;
Sukhumvit apartment near Nana BTS,Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,797.0,1.0,189.0,1.0,230.0,797.0,Central Bangkok;;;;;;;;;;;;
Spacious 1Bed apartment,Tisa,Huai Khwang,13.75224,100.58979,Entire home/apt,1169.0,15.0,0.0,1.0,180.0,17535.0,Central Bangkok;;;;;;;;;;;;
✺✺99 feet in the sky✺✺,Evan,Sathon,13.72062,100.54707,Entire home/apt,829.0,1.0,430.0,37.0,334.0,829.0,South Bangkok;;;;;;;;;;;;
Cozy Studio Apt near Skytrain.(72/74),Tor,Sathon,13.71782,100.51622,Private room,950.0,1.0,39.0,7.0,301.0,950.0,South Bangkok;;;;;;;;;;;;
S1 hostel (Dorm) Sathorn Bangkok,S1,Sathon,13.72157,100.54509,Shared room,330.0,1.0,82.0,3.0,358.0,330.0,South Bangkok;;;;;;;;;;;;
3 minutes walk to Phrom Phong BTS,Amporn,Vadhana,13.73675,100.57191,Entire home/apt,3740.0,7.0,18.0,1.0,44.0,26180.0,Central Bangkok;;;;;;;;;;;;
1 BDM CONDO SAPHAN KWAI/ARI walk to JJ/BTS/MRT,Chris And Lek,Phaya Thai,13.79128,100.54935,Entire home/apt,1000.0,5.0,29.0,1.0,145.0,5000.0,Central Bangkok;;;;;;;;;;;;
เฮ้าส์โหมด House Mode,Prapussorn,Thon buri,13.72646255738608,100.49129336748284,Private room,800.0,1.0,0.0,1.0,365.0,800.0,West Bangkok;;;;;;;;;;;;
❂100% Private&Central Light EnSuite,Evan,Sathon,13.72062,100.54707,Entire home/apt,800.0,1.0,325.0,37.0,358.0,800.0,South Bangkok;;;;;;;;;;;;
BKK City Fab Luxx Studio free wifi @1194,Wimonpak,Bang Kho laen,13.698,100.52886,Entire home/apt,790.0,1.0,127.0,41.0,365.0,790.0,South Bangkok;;;;;;;;;;;;
STUDIO-WIFI-RAIN SHOWER-SATHORN,Marvin,Sathon,13.71922,100.5255,Private room,1736.0,1.0,14.0,3.0,356.0,1736.0,South Bangkok;;;;;;;;;;;;
Luxury Riverview Teakwood Apartment-Great Views :),Maam & Hermann,Yan na wa,13.67317,100.54406,Hotel room,1558.0,2.0,120.0,1.0,361.0,3116.0,South Bangkok;;;;;;;;;;;;
River Side Luxury View,Jahidul,Yan na wa,13.70497,100.55134,Private room,2500.0,1.0,0.0,1.0,364.0,2500.0,South Bangkok;;;;;;;;;;;;
BKK Center Fab studio1150 free wifi,Wimonpak,Bang Kho laen,13.69832,100.52434,Entire home/apt,929.0,1.0,60.0,41.0,162.0,929.0,South Bangkok;;;;;;;;;;;;
Loft by the Church w kitchen/wifi near Sathon,Wimonpak,Bang Kho laen,13.70218,100.52254,Entire home/apt,670.0,2.0,38.0,41.0,347.0,1340.0,South Bangkok;;;;;;;;;;;;
9. Bangkok Mini Stylish Studio 205,Wimonpak,Bang Kho laen,13.70039,100.52806,Entire home/apt,720.0,1.0,40.0,41.0,359.0,720.0,South Bangkok;;;;;;;;;;;;
New and Modern Spacious Apartment,Preeda,Phra Khanong,13.6937,100.59897,Entire home/apt,1385.0,3.0,0.0,1.0,364.0,4155.0,South Bangkok;;;;;;;;;;;;
Hip Studio ♥ Of BKK+River+BTS+WIFI,Bee,Sathon,13.71278,100.5156,Entire home/apt,811.0,2.0,404.0,7.0,304.0,1622.0,South Bangkok;;;;;;;;;;;;
Condo QUATTRO @Thonglor Near BTS,Arika,Vadhana,13.72873,100.58039,Entire home/apt,2000.0,7.0,6.0,3.0,62.0,14000.0,Central Bangkok;;;;;;;;;;;;
Big quiet Studio for weekly monthly long term Stay,Lily Duangdao,Sathon,13.720317,100.54586,Private room,1629.0,4.0,4.0,7.0,82.0,6516.0,South Bangkok;;;;;;;;;;;;
BH : Double Room - Near BTS,Kriengkrai,Sathon,13.71659,100.51588,Private room,835.0,1.0,0.0,7.0,365.0,835.0,South Bangkok;;;;;;;;;;;;
Suite with Balcony,Kriengkrai,Sathon,13.71655,100.51384,Private room,926.0,1.0,1.0,7.0,365.0,926.0,South Bangkok;;;;;;;;;;;;
Room + Shared Shower Room near BTS,Kriengkrai,Sathon,13.71496,100.51406,Private room,866.0,1.0,0.0,7.0,365.0,866.0,South Bangkok;;;;;;;;;;;;
BANGKOK HUB Studio Room+Shower Room,Kriengkrai,Sathon,13.718,100.51573,Private room,650.0,1.0,0.0,7.0,365.0,650.0,South Bangkok;;;;;;;;;;;;
BANGKOK HUB : Standard Double Room,Kriengkrai,Sathon,13.71662,100.51572,Shared room,866.0,1.0,2.0,7.0,365.0,866.0,South Bangkok;;;;;;;;;;;;
phiyapa,Psirivedin,Don Mueang,13.9277,100.58757,Private room,1250.0,1.0,0.0,1.0,365.0,1250.0,North Bangkok;;;;;;;;;;;;
Spacious 2 Bedroom Apartment near BTS-non smoking,Suchada,Phaya Thai,13.7736,100.54079,Entire home/apt,2571.0,3.0,109.0,4.0,342.0,7713.0,Central Bangkok;;;;;;;;;;;;
CityCenter BTS Ari AREE FastWifi+Kitchen+SwimPool,Tayawat,Phaya Thai,13.77776,100.54353,Entire home/apt,3847.0,9.0,34.0,1.0,167.0,34623.0,Central Bangkok;;;;;;;;;;;;
Deluxe Condo at perfect location 2-0,Gerd,Vadhana,13.73757,100.55996,Entire home/apt,1485.0,3.0,206.0,3.0,130.0,4455.0,Central Bangkok;;;;;;;;;;;;
